date,team,awayTeam
25/08/2019,Burnley,Wolves
31/08/2019,Southampton,Man Utd
31/08/2019,Chelsea,Sheffield Utd
31/08/2019,Crystal Palace,Aston Villa
31/08/2019,Leicester,Bournemouth
31/08/2019,Man City,Brighton
31/08/2019,Newcastle,Watford
31/08/2019,West Ham,Norwich
31/08/2019,Burnley,Liverpool
31/08/2019,Man Utd,Southampton
31/08/2019,Sheffield Utd,Chelsea
31/08/2019,Aston Villa,Crystal Palace
31/08/2019,Bournemouth,Leicester
31/08/2019,Brighton,Man City
31/08/2019,Watford,Newcastle
31/08/2019,Norwich,West Ham
31/08/2019,Liverpool,Burnley
01/09/2019,Everton,Wolves
01/09/2019,Arsenal,Spurs
01/09/2019,Wolves,Everton
01/09/2019,Spurs,Arsenal
14/09/2019,Liverpool,Newcastle
14/09/2019,Brighton,Burnley
14/09/2019,Man Utd,Leicester
14/09/2019,Sheffield Utd,Southampton
14/09/2019,Spurs,Crystal Palace
14/09/2019,Wolves,Chelsea
14/09/2019,Norwich,Man City
14/09/2019,Newcastle,Liverpool
14/09/2019,Burnley,Brighton
14/09/2019,Leicester,Man Utd
14/09/2019,Southampton,Sheffield Utd
14/09/2019,Crystal Palace,Spurs
14/09/2019,Chelsea,Wolves
14/09/2019,Man City,Norwich
15/09/2019,Bournemouth,Everton
15/09/2019,Watford,Arsenal
15/09/2019,Everton,Bournemouth
15/09/2019,Arsenal,Watford
16/09/2019,Aston Villa,West Ham
16/09/2019,West Ham,Aston Villa
20/09/2019,Southampton,Bournemouth
20/09/2019,Bournemouth,Southampton
21/09/2019,Leicester,Spurs
21/09/2019,Burnley,Norwich
21/09/2019,Everton,Sheffield Utd
21/09/2019,Man City,Watford
21/09/2019,Newcastle,Brighton
21/09/2019,Spurs,Leicester
21/09/2019,Norwich,Burnley
21/09/2019,Sheffield Utd,Everton
21/09/2019,Watford,Man City
21/09/2019,Brighton,Newcastle
22/09/2019,Crystal Palace,Wolves
22/09/2019,West Ham,Man Utd
22/09/2019,Arsenal,Aston Villa
22/09/2019,Chelsea,Liverpool
22/09/2019,Wolves,Crystal Palace
22/09/2019,Man Utd,West Ham
22/09/2019,Aston Villa,Arsenal
22/09/2019,Liverpool,Chelsea
28/09/2019,Sheffield Utd,Liverpool
28/09/2019,Aston Villa,Burnley
28/09/2019,Bournemouth,West Ham
28/09/2019,Chelsea,Brighton
28/09/2019,Crystal Palace,Norwich
28/09/2019,Spurs,Southampton
28/09/2019,Wolves,Watford
28/09/2019,Everton,Man City
28/09/2019,Liverpool,Sheffield Utd
28/09/2019,Burnley,Aston Villa
28/09/2019,West Ham,Bournemouth
28/09/2019,Brighton,Chelsea
28/09/2019,Norwich,Crystal Palace
28/09/2019,Southampton,Spurs
28/09/2019,Watford,Wolves
28/09/2019,Man City,Everton
29/09/2019,Leicester,Newcastle
29/09/2019,Newcastle,Leicester
30/09/2019,Man Utd,Arsenal
30/09/2019,Arsenal,Man Utd
05/10/2019,Brighton,Spurs
05/10/2019,Burnley,Everton
05/10/2019,Liverpool,Leicester
05/10/2019,Norwich,Aston Villa
05/10/2019,Watford,Sheffield Utd
05/10/2019,West Ham,Crystal Palace
05/10/2019,Spurs,Brighton
05/10/2019,Everton,Burnley
05/10/2019,Leicester,Liverpool
05/10/2019,Aston Villa,Norwich
05/10/2019,Sheffield Utd,Watford
05/10/2019,Crystal Palace,West Ham
06/10/2019,Arsenal,Bournemouth
06/10/2019,Man City,Wolves
06/10/2019,Southampton,Chelsea
06/10/2019,Newcastle,Man Utd
06/10/2019,Bournemouth,Arsenal
06/10/2019,Wolves,Man City
06/10/2019,Chelsea,Southampton
06/10/2019,Man Utd,Newcastle
19/10/2019,Everton,West Ham
19/10/2019,Aston Villa,Brighton
19/10/2019,Bournemouth,Norwich
19/10/2019,Chelsea,Newcastle
19/10/2019,Leicester,Burnley
19/10/2019,Spurs,Watford
19/10/2019,Wolves,Southampton
19/10/2019,Crystal Palace,Man City
19/10/2019,West Ham,Everton
19/10/2019,Brighton,Aston Villa
19/10/2019,Norwich,Bournemouth
19/10/2019,Newcastle,Chelsea
19/10/2019,Burnley,Leicester
19/10/2019,Watford,Spurs
19/10/2019,Southampton,Wolves
19/10/2019,Man City,Crystal Palace
20/10/2019,Man Utd,Liverpool
20/10/2019,Liverpool,Man Utd
21/10/2019,Sheffield Utd,Arsenal
21/10/2019,Arsenal,Sheffield Utd
25/10/2019,Southampton,Leicester
25/10/2019,Leicester,Southampton
26/10/2019,Man City,Aston Villa
26/10/2019,Brighton,Everton
26/10/2019,Watford,Bournemouth
26/10/2019,West Ham,Sheffield Utd
26/10/2019,Burnley,Chelsea
26/10/2019,Aston Villa,Man City
26/10/2019,Everton,Brighton
26/10/2019,Bournemouth,Watford
26/10/2019,Sheffield Utd,West Ham
26/10/2019,Chelsea,Burnley
27/10/2019,Newcastle,Wolves
27/10/2019,Arsenal,Crystal Palace
27/10/2019,Liverpool,Spurs
27/10/2019,Norwich,Man Utd
27/10/2019,Wolves,Newcastle
27/10/2019,Crystal Palace,Arsenal
27/10/2019,Spurs,Liverpool
27/10/2019,Man Utd,Norwich
02/11/2019,Bournemouth,Man Utd
02/11/2019,Arsenal,Wolves
02/11/2019,Aston Villa,Liverpool
02/11/2019,Brighton,Norwich
02/11/2019,Man City,Southampton
02/11/2019,Sheffield Utd,Burnley
02/11/2019,West Ham,Newcastle
02/11/2019,Watford,Chelsea
02/11/2019,Man Utd,Bournemouth
02/11/2019,Wolves,Arsenal
02/11/2019,Liverpool,Aston Villa
02/11/2019,Norwich,Brighton
02/11/2019,Southampton,Man City
02/11/2019,Burnley,Sheffield Utd
02/11/2019,Newcastle,West Ham
02/11/2019,Chelsea,Watford
03/11/2019,Crystal Palace,Leicester
03/11/2019,Everton,Spurs
03/11/2019,Leicester,Crystal Palace
03/11/2019,Spurs,Everton
08/11/2019,Norwich,Watford
08/11/2019,Watford,Norwich
09/11/2019,Chelsea,Crystal Palace
09/11/2019,Burnley,West Ham
09/11/2019,Newcastle,Bournemouth
09/11/2019,Southampton,Everton
09/11/2019,Spurs,Sheffield Utd
09/11/2019,Leicester,Arsenal
09/11/2019,Crystal Palace,Chelsea
09/11/2019,West Ham,Burnley
09/11/2019,Bournemouth,Newcastle
09/11/2019,Everton,Southampton
09/11/2019,Sheffield Utd,Spurs
09/11/2019,Arsenal,Leicester
10/11/2019,Man Utd,Brighton
10/11/2019,Wolves,Aston Villa
10/11/2019,Liverpool,Man City
10/11/2019,Brighton,Man Utd
10/11/2019,Aston Villa,Wolves
10/11/2019,Man City,Liverpool
23/11/2019,West Ham,Spurs
23/11/2019,Arsenal,Southampton
23/11/2019,Bournemouth,Wolves
23/11/2019,Brighton,Leicester
23/11/2019,Crystal Palace,Liverpool
23/11/2019,Everton,Norwich
23/11/2019,Watford,Burnley
23/11/2019,Man City,Chelsea
23/11/2019,Spurs,West Ham
23/11/2019,Southampton,Arsenal
23/11/2019,Wolves,Bournemouth
23/11/2019,Leicester,Brighton
23/11/2019,Liverpool,Crystal Palace
23/11/2019,Norwich,Everton
23/11/2019,Burnley,Watford
23/11/2019,Chelsea,Man City
24/11/2019,Sheffield Utd,Man Utd
24/11/2019,Man Utd,Sheffield Utd
25/11/2019,Aston Villa,Newcastle
25/11/2019,Newcastle,Aston Villa
30/11/2019,Newcastle,Man City
30/11/2019,Burnley,Crystal Palace
30/11/2019,Chelsea,West Ham
30/11/2019,Liverpool,Brighton
30/11/2019,Spurs,Bournemouth
30/11/2019,Southampton,Watford
30/11/2019,Man City,Newcastle
30/11/2019,Crystal Palace,Burnley
30/11/2019,West Ham,Chelsea
30/11/2019,Brighton,Liverpool
30/11/2019,Bournemouth,Spurs
30/11/2019,Watford,Southampton
01/12/2019,Norwich,Arsenal
01/12/2019,Wolves,Sheffield Utd
01/12/2019,Leicester,Everton
01/12/2019,Man Utd,Aston Villa
01/12/2019,Arsenal,Norwich
01/12/2019,Sheffield Utd,Wolves
01/12/2019,Everton,Leicester
01/12/2019,Aston Villa,Man Utd
03/12/2019,Crystal Palace,Bournemouth
03/12/2019,Burnley,Man City
03/12/2019,Bournemouth,Crystal Palace
03/12/2019,Man City,Burnley
04/12/2019,Chelsea,Aston Villa
04/12/2019,Leicester,Watford
04/12/2019,Man Utd,Spurs
04/12/2019,Southampton,Norwich
04/12/2019,Wolves,West Ham
04/12/2019,Liverpool,Everton
04/12/2019,Aston Villa,Chelsea
04/12/2019,Watford,Leicester
04/12/2019,Spurs,Man Utd
04/12/2019,Norwich,Southampton
04/12/2019,West Ham,Wolves
04/12/2019,Everton,Liverpool
05/12/2019,Sheffield Utd,Newcastle
05/12/2019,Arsenal,Brighton
05/12/2019,Newcastle,Sheffield Utd
05/12/2019,Brighton,Arsenal
07/12/2019,Everton,Chelsea
07/12/2019,Bournemouth,Liverpool
07/12/2019,Spurs,Burnley
07/12/2019,Watford,Crystal Palace
07/12/2019,Man City,Man Utd
07/12/2019,Chelsea,Everton
07/12/2019,Liverpool,Bournemouth
07/12/2019,Burnley,Spurs
07/12/2019,Crystal Palace,Watford
07/12/2019,Man Utd,Man City
08/12/2019,Aston Villa,Leicester
08/12/2019,Newcastle,Southampton
08/12/2019,Norwich,Sheffield Utd
08/12/2019,Brighton,Wolves
08/12/2019,Leicester,Aston Villa
08/12/2019,Southampton,Newcastle
08/12/2019,Sheffield Utd,Norwich
08/12/2019,Wolves,Brighton
09/12/2019,West Ham,Arsenal
09/12/2019,Arsenal,West Ham
14/12/2019,Liverpool,Watford
14/12/2019,Burnley,Newcastle
14/12/2019,Chelsea,Bournemouth
14/12/2019,Leicester,Norwich
14/12/2019,Sheffield Utd,Aston Villa
14/12/2019,Southampton,West Ham
14/12/2019,Watford,Liverpool
14/12/2019,Newcastle,Burnley
14/12/2019,Bournemouth,Chelsea
14/12/2019,Norwich,Leicester
14/12/2019,Aston Villa,Sheffield Utd
14/12/2019,West Ham,Southampton
15/12/2019,Man Utd,Everton
15/12/2019,Wolves,Spurs
15/12/2019,Arsenal,Man City
15/12/2019,Everton,Man Utd
15/12/2019,Spurs,Wolves
15/12/2019,Man City,Arsenal
16/12/2019,Crystal Palace,Brighton
16/12/2019,Brighton,Crystal Palace
21/12/2019,Everton,Arsenal
21/12/2019,Aston Villa,Southampton
21/12/2019,Bournemouth,Burnley
21/12/2019,Brighton,Sheffield Utd
21/12/2019,Newcastle,Crystal Palace
21/12/2019,Norwich,Wolves
21/12/2019,Man City,Leicester
21/12/2019,Arsenal,Everton
21/12/2019,Southampton,Aston Villa
21/12/2019,Burnley,Bournemouth
21/12/2019,Sheffield Utd,Brighton
21/12/2019,Crystal Palace,Newcastle
21/12/2019,Wolves,Norwich
21/12/2019,Leicester,Man City
22/12/2019,Watford,Man Utd
22/12/2019,Spurs,Chelsea
22/12/2019,Man Utd,Watford
22/12/2019,Chelsea,Spurs
26/12/2019,Spurs,Brighton
26/12/2019,Aston Villa,Norwich
26/12/2019,Bournemouth,Arsenal
26/12/2019,Chelsea,Southampton
26/12/2019,Crystal Palace,West Ham
26/12/2019,Everton,Burnley
26/12/2019,Sheffield Utd,Watford
26/12/2019,Man Utd,Newcastle
26/12/2019,Leicester,Liverpool
26/12/2019,Brighton,Spurs
26/12/2019,Norwich,Aston Villa
26/12/2019,Arsenal,Bournemouth
26/12/2019,Southampton,Chelsea
26/12/2019,West Ham,Crystal Palace
26/12/2019,Burnley,Everton
26/12/2019,Watford,Sheffield Utd
26/12/2019,Newcastle,Man Utd
26/12/2019,Liverpool,Leicester
27/12/2019,Wolves,Man City
27/12/2019,Man City,Wolves
28/12/2019,Brighton,Bournemouth
28/12/2019,Newcastle,Everton
28/12/2019,Southampton,Crystal Palace
28/12/2019,Watford,Aston Villa
28/12/2019,Norwich,Spurs
28/12/2019,West Ham,Leicester
28/12/2019,Burnley,Man Utd
28/12/2019,Bournemouth,Brighton
28/12/2019,Everton,Newcastle
28/12/2019,Crystal Palace,Southampton
28/12/2019,Aston Villa,Watford
28/12/2019,Spurs,Norwich
28/12/2019,Leicester,West Ham
28/12/2019,Man Utd,Burnley
29/12/2019,Arsenal,Chelsea
29/12/2019,Liverpool,Wolves
29/12/2019,Man City,Sheffield Utd
29/12/2019,Chelsea,Arsenal
29/12/2019,Wolves,Liverpool
29/12/2019,Sheffield Utd,Man City
01/01/2020,Brighton,Chelsea
01/01/2020,Burnley,Aston Villa
01/01/2020,Newcastle,Leicester
01/01/2020,Southampton,Spurs
01/01/2020,Watford,Wolves
01/01/2020,Man City,Everton
01/01/2020,Norwich,Crystal Palace
01/01/2020,West Ham,Bournemouth
01/01/2020,Arsenal,Man Utd
01/01/2020,Chelsea,Brighton
01/01/2020,Aston Villa,Burnley
01/01/2020,Leicester,Newcastle
01/01/2020,Spurs,Southampton
01/01/2020,Wolves,Watford
01/01/2020,Everton,Man City
01/01/2020,Crystal Palace,Norwich
01/01/2020,Bournemouth,West Ham
01/01/2020,Man Utd,Arsenal
02/01/2020,Liverpool,Sheffield Utd
02/01/2020,Sheffield Utd,Liverpool
10/01/2020,Sheffield Utd,West Ham
10/01/2020,West Ham,Sheffield Utd
11/01/2020,Crystal Palace,Arsenal
11/01/2020,Chelsea,Burnley
11/01/2020,Everton,Brighton
11/01/2020,Leicester,Southampton
11/01/2020,Man Utd,Norwich
11/01/2020,Wolves,Newcastle
11/01/2020,Spurs,Liverpool
11/01/2020,Arsenal,Crystal Palace
11/01/2020,Burnley,Chelsea
11/01/2020,Brighton,Everton
11/01/2020,Southampton,Leicester
11/01/2020,Norwich,Man Utd
11/01/2020,Newcastle,Wolves
11/01/2020,Liverpool,Spurs
12/01/2020,Bournemouth,Watford
12/01/2020,Aston Villa,Man City
12/01/2020,Watford,Bournemouth
12/01/2020,Man City,Aston Villa
18/01/2020,Watford,Spurs
18/01/2020,Arsenal,Sheffield Utd
18/01/2020,Brighton,Aston Villa
18/01/2020,Man City,Crystal Palace
18/01/2020,Norwich,Bournemouth
18/01/2020,Southampton,Wolves
18/01/2020,West Ham,Everton
18/01/2020,Newcastle,Chelsea
18/01/2020,Spurs,Watford
18/01/2020,Sheffield Utd,Arsenal
18/01/2020,Aston Villa,Brighton
18/01/2020,Crystal Palace,Man City
18/01/2020,Bournemouth,Norwich
18/01/2020,Wolves,Southampton
18/01/2020,Everton,West Ham
18/01/2020,Chelsea,Newcastle
19/01/2020,Burnley,Leicester
19/01/2020,Liverpool,Man Utd
19/01/2020,Leicester,Burnley
19/01/2020,Man Utd,Liverpool
21/01/2020,Aston Villa,Watford
21/01/2020,Bournemouth,Brighton
21/01/2020,Crystal Palace,Southampton
21/01/2020,Everton,Newcastle
21/01/2020,Sheffield Utd,Man City
21/01/2020,Chelsea,Arsenal
21/01/2020,Watford,Aston Villa
21/01/2020,Brighton,Bournemouth
21/01/2020,Southampton,Crystal Palace
21/01/2020,Newcastle,Everton
21/01/2020,Man City,Sheffield Utd
21/01/2020,Arsenal,Chelsea
22/01/2020,Leicester,West Ham
22/01/2020,Spurs,Norwich
22/01/2020,Man Utd,Burnley
22/01/2020,West Ham,Leicester
22/01/2020,Norwich,Spurs
22/01/2020,Burnley,Man Utd
23/01/2020,Wolves,Liverpool
23/01/2020,Liverpool,Wolves
29/01/2020,West Ham,Liverpool
29/01/2020,Liverpool,West Ham
01/02/2020,Leicester,Chelsea
01/02/2020,Bournemouth,Aston Villa
01/02/2020,Crystal Palace,Sheffield Utd
01/02/2020,Liverpool,Southampton
01/02/2020,Newcastle,Norwich
01/02/2020,Watford,Everton
01/02/2020,West Ham,Brighton
01/02/2020,Man Utd,Wolves
01/02/2020,Chelsea,Leicester
01/02/2020,Aston Villa,Bournemouth
01/02/2020,Sheffield Utd,Crystal Palace
01/02/2020,Southampton,Liverpool
01/02/2020,Norwich,Newcastle
01/02/2020,Everton,Watford
01/02/2020,Brighton,West Ham
01/02/2020,Wolves,Man Utd
02/02/2020,Burnley,Arsenal
02/02/2020,Spurs,Man City
02/02/2020,Arsenal,Burnley
02/02/2020,Man City,Spurs
08/02/2020,Everton,Crystal Palace
08/02/2020,Brighton,Watford
08/02/2020,Crystal Palace,Everton
08/02/2020,Watford,Brighton
09/02/2020,Sheffield Utd,Bournemouth
09/02/2020,Bournemouth,Sheffield Utd
14/02/2020,Wolves,Leicester
14/02/2020,Leicester,Wolves
15/02/2020,Southampton,Burnley
15/02/2020,Norwich,Liverpool
15/02/2020,Burnley,Southampton
15/02/2020,Liverpool,Norwich
16/02/2020,Aston Villa,Spurs
16/02/2020,Arsenal,Newcastle
16/02/2020,Spurs,Aston Villa
16/02/2020,Newcastle,Arsenal
17/02/2020,Chelsea,Man Utd
17/02/2020,Man Utd,Chelsea
19/02/2020,Man City,West Ham
19/02/2020,West Ham,Man City
22/02/2020,Chelsea,Spurs
22/02/2020,Burnley,Bournemouth
22/02/2020,Crystal Palace,Newcastle
22/02/2020,Sheffield Utd,Brighton
22/02/2020,Southampton,Aston Villa
22/02/2020,Leicester,Man City
22/02/2020,Spurs,Chelsea
22/02/2020,Bournemouth,Burnley
22/02/2020,Newcastle,Crystal Palace
22/02/2020,Brighton,Sheffield Utd
22/02/2020,Aston Villa,Southampton
22/02/2020,Man City,Leicester
23/02/2020,Man Utd,Watford
23/02/2020,Wolves,Norwich
23/02/2020,Arsenal,Everton
23/02/2020,Watford,Man Utd
23/02/2020,Norwich,Wolves
23/02/2020,Everton,Arsenal
24/02/2020,Liverpool,West Ham
24/02/2020,West Ham,Liverpool
28/02/2020,Norwich,Leicester
28/02/2020,Leicester,Norwich
29/02/2020,Brighton,Crystal Palace
29/02/2020,Bournemouth,Chelsea
29/02/2020,Newcastle,Burnley
29/02/2020,West Ham,Southampton
29/02/2020,Watford,Liverpool
29/02/2020,Crystal Palace,Brighton
29/02/2020,Chelsea,Bournemouth
29/02/2020,Burnley,Newcastle
29/02/2020,Southampton,West Ham
29/02/2020,Liverpool,Watford
01/03/2020,Everton,Man Utd
01/03/2020,Spurs,Wolves
01/03/2020,Man Utd,Everton
01/03/2020,Wolves,Spurs
07/03/2020,Liverpool,Bournemouth
07/03/2020,Arsenal,West Ham
07/03/2020,Crystal Palace,Watford
07/03/2020,Sheffield Utd,Norwich
07/03/2020,Southampton,Newcastle
07/03/2020,Wolves,Brighton
07/03/2020,Burnley,Spurs
07/03/2020,Bournemouth,Liverpool
07/03/2020,West Ham,Arsenal
07/03/2020,Watford,Crystal Palace
07/03/2020,Norwich,Sheffield Utd
07/03/2020,Newcastle,Southampton
07/03/2020,Brighton,Wolves
07/03/2020,Spurs,Burnley
08/03/2020,Chelsea,Everton
08/03/2020,Man Utd,Man City
08/03/2020,Everton,Chelsea
08/03/2020,Man City,Man Utd
09/03/2020,Leicester,Aston Villa
09/03/2020,Aston Villa,Leicester
17/06/2020,Aston Villa,Sheffield Utd
17/06/2020,Man City,Arsenal
17/06/2020,Sheffield Utd,Aston Villa
17/06/2020,Arsenal,Man City
19/06/2020,Norwich,Southampton
19/06/2020,Spurs,Man Utd
19/06/2020,Southampton,Norwich
19/06/2020,Man Utd,Spurs
20/06/2020,Watford,Leicester
20/06/2020,Brighton,Arsenal
20/06/2020,West Ham,Wolves
20/06/2020,Bournemouth,Crystal Palace
20/06/2020,Leicester,Watford
20/06/2020,Arsenal,Brighton
20/06/2020,Wolves,West Ham
20/06/2020,Crystal Palace,Bournemouth
21/06/2020,Newcastle,Sheffield Utd
21/06/2020,Aston Villa,Chelsea
21/06/2020,Everton,Liverpool
21/06/2020,Sheffield Utd,Newcastle
21/06/2020,Chelsea,Aston Villa
21/06/2020,Liverpool,Everton
22/06/2020,Man City,Burnley
22/06/2020,Burnley,Man City
23/06/2020,Leicester,Brighton
23/06/2020,Spurs,West Ham
23/06/2020,Brighton,Leicester
23/06/2020,West Ham,Spurs
24/06/2020,Man Utd,Sheffield Utd
24/06/2020,Newcastle,Aston Villa
24/06/2020,Norwich,Everton
24/06/2020,Wolves,Bournemouth
24/06/2020,Liverpool,Crystal Palace
24/06/2020,Sheffield Utd,Man Utd
24/06/2020,Aston Villa,Newcastle
24/06/2020,Everton,Norwich
24/06/2020,Bournemouth,Wolves
24/06/2020,Crystal Palace,Liverpool
25/06/2020,Burnley,Watford
25/06/2020,Southampton,Arsenal
25/06/2020,Chelsea,Man City
25/06/2020,Watford,Burnley
25/06/2020,Arsenal,Southampton
25/06/2020,Man City,Chelsea
27/06/2020,Aston Villa,Wolves
27/06/2020,Wolves,Aston Villa
28/06/2020,Watford,Southampton
28/06/2020,Southampton,Watford
29/06/2020,Crystal Palace,Burnley
29/06/2020,Burnley,Crystal Palace
30/06/2020,Brighton,Man Utd
30/06/2020,Man Utd,Brighton
01/07/2020,Arsenal,Norwich
01/07/2020,Bournemouth,Newcastle
01/07/2020,Everton,Leicester
01/07/2020,West Ham,Chelsea
01/07/2020,Norwich,Arsenal
01/07/2020,Newcastle,Bournemouth
01/07/2020,Leicester,Everton
01/07/2020,Chelsea,West Ham
02/07/2020,Sheffield Utd,Spurs
02/07/2020,Man City,Liverpool
02/07/2020,Spurs,Sheffield Utd
02/07/2020,Liverpool,Man City
04/07/2020,Norwich,Brighton
04/07/2020,Leicester,Crystal Palace
04/07/2020,Man Utd,Bournemouth
04/07/2020,Wolves,Arsenal
04/07/2020,Chelsea,Watford
04/07/2020,Brighton,Norwich
04/07/2020,Crystal Palace,Leicester
04/07/2020,Bournemouth,Man Utd
04/07/2020,Arsenal,Wolves
04/07/2020,Watford,Chelsea
05/07/2020,Burnley,Sheffield Utd
05/07/2020,Newcastle,West Ham
05/07/2020,Liverpool,Aston Villa
05/07/2020,Southampton,Man City
05/07/2020,Sheffield Utd,Burnley
05/07/2020,West Ham,Newcastle
05/07/2020,Aston Villa,Liverpool
05/07/2020,Man City,Southampton
06/07/2020,Spurs,Everton
06/07/2020,Everton,Spurs
07/07/2020,Crystal Palace,Chelsea
07/07/2020,Watford,Norwich
07/07/2020,Arsenal,Leicester
07/07/2020,Chelsea,Crystal Palace
07/07/2020,Norwich,Watford
07/07/2020,Leicester,Arsenal
08/07/2020,Man City,Newcastle
08/07/2020,Sheffield Utd,Wolves
08/07/2020,West Ham,Burnley
08/07/2020,Brighton,Liverpool
08/07/2020,Newcastle,Man City
08/07/2020,Wolves,Sheffield Utd
08/07/2020,Burnley,West Ham
08/07/2020,Liverpool,Brighton
09/07/2020,Bournemouth,Spurs
09/07/2020,Everton,Southampton
09/07/2020,Aston Villa,Man Utd
09/07/2020,Spurs,Bournemouth
09/07/2020,Southampton,Everton
09/07/2020,Man Utd,Aston Villa
11/07/2020,Norwich,West Ham
11/07/2020,Watford,Newcastle
11/07/2020,Liverpool,Burnley
11/07/2020,Sheffield Utd,Chelsea
11/07/2020,Brighton,Man City
11/07/2020,West Ham,Norwich
11/07/2020,Newcastle,Watford
11/07/2020,Burnley,Liverpool
11/07/2020,Chelsea,Sheffield Utd
11/07/2020,Man City,Brighton
12/07/2020,Wolves,Everton
12/07/2020,Aston Villa,Crystal Palace
12/07/2020,Spurs,Arsenal
12/07/2020,Bournemouth,Leicester
12/07/2020,Everton,Wolves
12/07/2020,Crystal Palace,Aston Villa
12/07/2020,Arsenal,Spurs
12/07/2020,Leicester,Bournemouth
13/07/2020,Man Utd,Southampton
13/07/2020,Southampton,Man Utd
14/07/2020,Chelsea,Norwich
14/07/2020,Norwich,Chelsea
15/07/2020,Burnley,Wolves
15/07/2020,Man City,Bournemouth
15/07/2020,Newcastle,Spurs
15/07/2020,Arsenal,Liverpool
15/07/2020,Wolves,Burnley
15/07/2020,Bournemouth,Man City
15/07/2020,Spurs,Newcastle
15/07/2020,Liverpool,Arsenal
16/07/2020,Everton,Aston Villa
16/07/2020,Leicester,Sheffield Utd
16/07/2020,Crystal Palace,Man Utd
16/07/2020,Southampton,Brighton
16/07/2020,Aston Villa,Everton
16/07/2020,Sheffield Utd,Leicester
16/07/2020,Man Utd,Crystal Palace
16/07/2020,Brighton,Southampton
17/07/2020,West Ham,Watford
17/07/2020,Watford,West Ham
18/07/2020,Norwich,Burnley
18/07/2020,Burnley,Norwich
19/07/2020,Bournemouth,Southampton
19/07/2020,Spurs,Leicester
19/07/2020,Southampton,Bournemouth
19/07/2020,Leicester,Spurs
20/07/2020,Brighton,Newcastle
20/07/2020,Sheffield Utd,Everton
20/07/2020,Wolves,Crystal Palace
20/07/2020,Newcastle,Brighton
20/07/2020,Everton,Sheffield Utd
20/07/2020,Crystal Palace,Wolves
21/07/2020,Watford,Man City
21/07/2020,Aston Villa,Arsenal
21/07/2020,Man City,Watford
21/07/2020,Arsenal,Aston Villa
22/07/2020,Man Utd,West Ham
22/07/2020,Liverpool,Chelsea
22/07/2020,West Ham,Man Utd
22/07/2020,Chelsea,Liverpool
26/07/2020,Arsenal,Watford
26/07/2020,Burnley,Brighton
26/07/2020,Chelsea,Wolves
26/07/2020,Crystal Palace,Spurs
26/07/2020,Everton,Bournemouth
26/07/2020,Leicester,Man Utd
26/07/2020,Man City,Norwich
26/07/2020,Newcastle,Liverpool
26/07/2020,Southampton,Sheffield Utd
26/07/2020,West Ham,Aston Villa
26/07/2020,Watford,Arsenal
26/07/2020,Brighton,Burnley
26/07/2020,Wolves,Chelsea
26/07/2020,Spurs,Crystal Palace
26/07/2020,Bournemouth,Everton
26/07/2020,Man Utd,Leicester
26/07/2020,Norwich,Man City
26/07/2020,Liverpool,Newcastle
26/07/2020,Sheffield Utd,Southampton
26/07/2020,Aston Villa,West Ham
12/09/2020,Fulham,Arsenal
12/09/2020,Crystal Palace,Southampton
12/09/2020,Liverpool,Leeds
